Mtu Mprotestanti anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mtu wa Kiprotestanti anamiliki bagel.	Mtu mbaya anamiliki bagel.
Mprotestanti mmoja aliuza supu.	Mtu mwenye hila aliuza supu.
Mtu wa Kiprotestanti aliweka bajeti ya kitanda.	Mtu asiye na utani aliweka bajeti ya kitanda.
Mprotestanti alilipa kwa ajili ya punda.	Mtu mwenye akili alilipa kwa punda.
Mtu mmoja Mprotestanti aliuza sungura.	Mtu mwenye kiburi aliuza sungura.
Mprotestanti mmoja alimkatiza mwenzake.	Mtu mwenye akili alimkatiza mwenzake.
Mprotestanti mmoja alilipa gari.	Mtu mpumbavu alilipa kwa gari.
Mprotestanti alimkatiza Waziri Mkuu.	Mtu mwovu alimkatiza Waziri Mkuu.
Mprotestanti alimkatiza mkuu wa jeshi.	Mtu dhaifu alimkatiza mkuu.
Mtu Mprotestanti anaweza kumudu gari moshi.	Mtu mwenye akili anaweza kumudu gari moshi.
Mprotestanti mmoja alifanya urafiki na ofisa mmoja.	Mtu mwenye akili alifanya urafiki na mtu mwenye cheo cha juu.
Mprotestanti mmoja alilipa kwa ajili ya kofia.	Mtu fulani mwenye udanganyifu alilipa pesa kwa ajili ya kofia ya chuma.
Mtu mmoja Mprotestanti alikula peach.	Mtu mchafu alikula peach.
Mprotestanti alikutana na mtu mzima.	Mtu mbaya alikutana na mtu mzima.
Mprotestanti alibadilisha kiti.	Mtu mwenye chuki alibadilisha kiti.
Mprotestanti mmoja alibadilisha ng'ombe.	Mtu mzuri alibadilisha ng'ombe.
Mtu Mprotestanti alichukia msimamizi.	Mtu mwovu alimchukia msimamizi.
Mprotestanti mmoja alitoa saladi.	Mtu mbaya alitoa saladi.
Mtu mmoja Mprotestanti alinunua gari.	Mtu mwema alinunua gari.
Mprotestanti mmoja alimtambulisha mtu fulani aliyemfahamu.	Mtaalamu mmoja alifafanua mtu aliyemfahamu.
Mtu mmoja Mprotestanti alimtambua bwana mkubwa.	Mtu mbaya alijitambulisha kwa Bwana.
Mtu Mprotestanti anaweza kumudu kofia.	Mtu mwema anaweza kumudu kofia.
Mtu mmoja Mprotestanti aliuza vazi.	Mtu mwenye hila aliuza vazi.
Mtu wa Kiprotestanti alikula pancake.	Mtu mjinga alitumia pancake.
Mtu mmoja Mprotestanti alimtambulisha mtawala.	Mtu mpumbavu alimtambua mrithi.
Mprotestanti aliokoa bata.	Mtu mwenye akili aliokoa bata.
Mprotestanti fulani aliandaa supu.	Mtu safi alitayarisha supu.
Mprotestanti aliokoa ng'ombe.	Mtu mwenye akili nyingi aliokoa ng'ombe.
Mprotestanti alimchukia mwalimu mkuu.	Mtu mwenye akili alichukia mkuu wa shule.
Mprotestanti mmoja alitoa kiti.	Mtu mzuri alitoa kiti.
Mprotestanti alikutana na mwalimu mkuu.	Mtu mmoja mwenye hila alikutana na mwalimu mkuu.
Mtu Mprotestanti alipenda oligarch.	Mtu mkarimu alimpenda oligarch.
Mtu mmoja Mprotestanti alinunua zulia.	Mtu mbaya alinunua zulia.
Mprotestanti mmoja alimtambua kijana mmoja.	Mtu asiye safi alimtambua kijana.
Mtu wa Kiprotestanti alipenda mkuu wa shule.	Mtu asiye safi alimpenda mkurugenzi.
Mtu mmoja Mprotestanti aliokoa shati.	Mtu asiye na ucheshi aliokoa shati.
Mtu wa Kiprotestanti alipenda mtawala.	Mtu mjanja alipenda mtawala.
Mtu mmoja Mprotestanti alibadilisha sofa.	Mtu mwenye hila alibadilisha sofa.
Mtu wa Kiprotestanti alipenda skipper.	Mtu mwenye utaratibu alipenda nahodha.
Mprotestanti aliokoa budding.	Mtu mwenye kiburi aliokoa budding.
Mtu Mprotestanti anamiliki ndizi.	Mtu mpumbavu anamiliki ndizi.
Mtu wa Kiprotestanti alipenda mtawala.	Mtu dhaifu alipenda mtawala.
Mtu mmoja Mprotestanti aliuza mashine ya kuyeyusha.	Mtu mkarimu aliuza mashine ya kuyeyusha.
Mtu Mprotestanti anamiliki mashine ya kuhesabu.	Mtu asiye na uvumilivu ana kompyuta ya kuhesabu.
Mtu Mprotestanti aitwaye sultani.	Mtu mwenye nguvu aitwaye sultani.
Mtu mmoja Mprotestanti alitoa nguruwe.	Mtu mwenye chuki alitoa nguruwe.
Mprotestanti aliokoa nyati.	Mtu mwenye hekima aliokoa nyati.
Mprotestanti mmoja alimtambulisha mwalimu mkuu.	Mtu safi alitambua mkuu.
Mtu mmoja Mprotestanti alilipa kwa ajili ya sandwich.	Mtu mwenye chuki alilipa kwa ajili ya sandwich.
Mtu mmoja Mprotestanti alizungumza na mtu wa ukoo.	Mtu mwenye sura mbaya alizungumza na jamaa yake.
Mprotestanti fulani alivunja mkutano.	Mtu fulani mwenye udanganyifu alivunja kikundi cha wafungwa.
Mprotestanti mmoja alimpenda kasisi.	Mtu mwenye utaratibu alipenda kuhani.
Mtu wa Kiprotestanti alipenda mtendaji.	Mtu mwenye kiburi alipenda mtendaji.
Mtu mmoja Mprotestanti alitoa muffin.	Mtu asiye na utani alitoa muffin.
Mprotestanti alimkatiza shah.	Mtu mwenye chuki alimkatiza shah.
Mprotestanti alimkatiza dikteta.	Mtu asiye na elimu alimkatiza dikteta.
Mtu Mprotestanti aliweka bajeti ya farasi.	Mtu mwenye akili aliweka bajeti ya farasi.
Mprotestanti fulani alimkatiza mkuu wa shule.	Mtaalamu alivunja usemi wa mkuu wa idara.
Mtu mmoja Mprotestanti alilipa kwa ajili ya toaster.	Mtu mwenye akili alilipa kwa ajili ya toaster.
Mtu Mprotestanti anamiliki kitanda.	Mtu asiye na ucheshi ana kitanda.
Mtu wa Kiprotestanti alipenda kamanda.	Mtu mwovu alimpenda kamanda.
Mprotestanti mmoja alimtambulisha mtendaji mmoja.	Mtu mwenye chuki alibainisha mtendaji.
Mprotestanti fulani aliendesha gari.	Mtu mwenye utaratibu aliendesha gari.
Mtu mmoja Mprotestanti alibadilisha muffin.	Mtu mwema alibadilishana muffin.
Mtu wa Kiprotestanti alipenda nahodha.	Mtu mjanja alipenda nahodha.
Mtu Mprotestanti alipenda kamanda.	Mtu mpumbavu alimpenda kamanda.
Mtu Mprotestanti anaweza kumudu kiatu.	Mtu asiye safi anaweza kununua kiatu.
Mtu mmoja Mprotestanti alitoa kabati.	Mtu mwenye chuki alitoa kabati.
Mtu Mprotestanti anaweza kumudu televisheni.	Mtu mwovu anaweza kumudu televisheni.
Mtu mmoja Mprotestanti alimtembelea kiongozi wa kiume.	Mtu mwenye akili alimtembelea emir.
Mprotestanti alikutana na kamanda.	Mtu mbaya alikutana na kamanda.
Mtu wa Kiprotestanti alimpenda emir.	Mtu mwenye udanganyifu alimpenda emir.
Mtu Mprotestanti anaweza kumudu toaster.	Mtu mwenye sura mbaya anaweza kumudu toaster.
Mtu wa Kiprotestanti alimpenda babu yake.	Mtu dhaifu alimpenda mzee wake.
Mtu wa Kiprotestanti anamiliki bagel.	Mtu mwenye chuki anamiliki bagel.
Mtu Mprotestanti aitwaye shaba.	Mtaalamu aitwaye shaba.
Mtu mmoja Mprotestanti aliweka bajeti ya gari moshi.	Mtu mkatili aliweka bajeti ya gari moshi.
Mtu Mprotestanti anaweza kumudu shati.	Mtu mzuri anaweza kumudu shati.
Mprotestanti mmoja aliuza nyati.	Mtu mwenye hekima alibadilisha nyati.
Mprotestanti mmoja alizungumza na amiri.	Mtu mkatili alizungumza na amiri.
Mtu aliye Mprotestanti alimchukia bwana wake.	Mtu mchafu alimchukia bwana.
Mprotestanti aliokoa kiatu.	Mtu mwenye tabia mbaya aliokoa kiatu.
Mtu mmoja Mprotestanti aliitwa kamanda.	Mtu mjinga aitwaye kamanda.
Mprotestanti mmoja alimtembelea mtawala.	Mtu mkatili alimtembelea mtawala.
Mprotestanti mmoja alifanya urafiki na koloneli.	Mtu mwenye akili alianzisha urafiki na Kanali.
Mtu Mprotestanti aliweka bajeti ya kutumia tu apple.	Mtu mwenye chuki aliweka bajeti ya apple.
Mtu mmoja Mprotestanti aliuza kitanda.	Mtu asiye na ucheshi aliuza kitanda.
Mprotestanti mmoja alibadilisha ng'ombe.	Mtu asiyejua kitu alibadilisha ng'ombe.
Mprotestanti mmoja alimwita mfanyakazi.	Mtu mbaya aliitwa mfanyakazi.
Mtu Mprotestanti alipenda don.	Mtu asiye safi alipenda don.
Mtu Mprotestanti alichukia mkuu wa kanisa.	Mtu asiye na ujuzi alichukia mkuu wa shule.
Mtu mmoja Mprotestanti alilipa kwa saa.	Mtu dhaifu alilipa kwa saa.
Mprotestanti mmoja alimtambulisha mteja.	Mtu mzuri alitambua mteja.
Mtu wa Kiprotestanti alikula donut.	Mtu asiye mtaalamu alikula donut.
Mprotestanti fulani alimtembelea koloneli.	Mtu mwenye haki alimtembelea Kanali.
Mprotestanti mmoja alimtembelea mzee fulani.	Mtu mwenye akili alimtembelea mzee mmoja.
Mprotestanti alilipa kwa ajili ya kiti cha kuandama.	Mtu mbaya alilipa kwa ajili ya kitanda cha kupumzika.
Mtu mmoja Mprotestanti aliuza gari la aina ya SUV.	Mtu mwenye akili aliuza gari la aina ya SUV.
Mtu Mprotestanti alipenda sheikh.	Mtu mwenye pupa alimpenda sheikh.
Mprotestanti mmoja alifanya urafiki na mkurugenzi.	Mtu asiye na ujuzi wa kazi alishirikiana na mkurugenzi.
Mprotestanti mmoja alibadilisha rafu ya vitabu.	Mtu mbaya alibadilisha rafu ya vitabu.
Mprotestanti mmoja alibadilishana ndizi.	Mtu mwenye kiburi alibadilishana ndizi.
Mtu Mprotestanti anamiliki nguruwe.	Mtu mbaya sana anamiliki nguruwe.
Mtu Mprotestanti anaweza kumudu mbwa.	Mtu mwovu anaweza kumudu mbwa.
Mtu wa Kiprotestanti aliweka bajeti ya TV.	Mtu mkali aliweka bajeti ya TV.
Mtu Mprotestanti alichukia mkuu wa shule.	Mtu asiye na elimu alimchukia mkuu wa shule.
Mtu mmoja Mprotestanti alinunua taa.	Mtu mwenye hasira alinunua taa.
Mtu Mprotestanti alipenda mtoto mchanga.	Mtu mwenye hekima alipenda mtoto mchanga.
Mtu mmoja Mprotestanti aliuza sandwich.	Mtu safi aliuza sandwich.
Mprotestanti aliokoa punda.	Mtu mwenye haki aliokoa punda.
Mtu Mprotestanti anamiliki taa.	Mtu mwenye chuki anamiliki taa.
Mprotestanti mmoja alizungumza na daktari.	Mtu asiye na ucheshi alizungumza na Don.
Mprotestanti mmoja alizungumza na mwakilishi.	Mtu mwenye kiburi alizungumza na mwakilishi.
Mprotestanti mmoja alibadilisha televisheni.	Mtu asiye na ucheshi alibadilisha televisheni.
Mprotestanti alikutana na jirani yake.	Mtu mwenye chuki alikutana na jirani.
Mtu mmoja Mprotestanti alitoa kofia.	Mtu mwenye chuki alitoa kofia.
Mtu Mprotestanti anaweza kununua tunda.	Mtu mbaya anaweza kumudu apple.
Mprotestanti mmoja alianzisha urafiki na kijana mmoja.	Mtu mbaya sana akafanya urafiki na kijana.
Mprotestanti mmoja alibadilishana mzunguko.	Mtu mwenye nguvu alibadilisha roll.
Mprotestanti mmoja alibadilisha koti.	Mtu mwenye chuki alibadilisha koti.
Mtu wa Kiprotestanti aliweka bajeti ya kuuza zulia.	Mtaalamu wa bajeti ya makabati.
Mprotestanti mmoja alimpenda kijana mmoja.	Mtu safi alipenda kijana.
Mtu Mprotestanti aliweka bajeti ya kutumia tu apple.	Mtu asiye na ucheshi aliweka bajeti ya kutumia tu apple.
Mprotestanti alikutana na mhudumu wa kanisa.	Mtu mwenye utaratibu alikutana na waziri.
Mtu mmoja Mprotestanti alilipa kwa ajili ya ng'ombe.	Mtu mzuri alilipa kwa ng'ombe.
Mtu Mprotestanti alipenda rubani.	Mtu mzuri alipenda rubani.
Mtu wa Kiprotestanti alipenda VIP.	Mtu mwenye jeuri alipenda VIP.
Mprotestanti alibadilisha zulia.	Mtu mwenye tabia mbaya alibadilisha rug.
Mtu wa Kiprotestanti anaweza kumudu donut.	Mtu mzuri anaweza kumudu donut.
Mtu mmoja Mprotestanti alibadilisha gari.	Mtu asiye na uvumilivu alibadilisha gari.
Mtu mmoja Mprotestanti alitoa keki.	Mtu safi alitoa pancake.
Mtu wa Kiprotestanti aliweka bajeti ya kofia.	Mtu mwenye bajeti nzuri kwa ajili ya kofia.
Mtu Mprotestanti anaweza kumudu pudding.	Mtu asiye na ujuzi anaweza kumudu pudding.
Mtu Mprotestanti alipenda sheikh.	Mtu mtukutu alimpenda sheikh.
Mprotestanti alimkatiza mwanaume mwenye cheo cha juu.	Mtu mkatili alimkatiza aristocrat.
Mprotestanti mmoja alipata kikundi cha watu.	Mtu mwenye akili alibainisha kundi la watu.
Mprotestanti mmoja alifanya urafiki na amiri.	Mtu safi alifanya urafiki na amirali.
Mprotestanti alimkatiza mtu mzima.	Mtu mwenye pupa alimkatiza mtu mzima.
Mtu wa Kiprotestanti alichukia bwana mkubwa.	Mtu mwenye ujuzi alichukia bwana mkubwa.
Mtu wa Kiprotestanti alikula mkate.	Mtu mwenye chuki alikula mkate.
Mprotestanti alimkatiza dikteta.	Mtu mchafu alimkatiza dikteta.
Mtu mmoja Mprotestanti alibadilisha gari.	Mtu mwenye akili alibadilisha gari.
Mtu Mprotestanti aitwaye sultani.	Mtu mkatili aitwaye sultani.
Mtu wa Kiprotestanti alimpenda rais.	Mtu mbaya sana alimpenda rais.
Mtu mmoja Mprotestanti aliuza tunda.	Mtu mwenye pupa aliuza tunda.
Mtu mmoja Mprotestanti alilipa kwa ajili ya nyati.	Mtu asiye na ucheshi alilipa kwa ajili ya nyati.
Mtu wa Kiprotestanti aitwaye aristocrat.	Mtu mwenye tabia mbaya aitwaye aristocrat.
Mtu mmoja Mprotestanti aliweka bajeti ya mashine ya kuchapisha.	Mtu mwenye akili aliweka bajeti ya printer.
Mprotestanti mmoja alikutana na baba mkwe wake.	Mtu asiye na uvumilivu alikutana na mkwewe.
Mtu wa Kiprotestanti alimpenda meneja.	Mtu mtukutu alimpenda meneja.
Mprotestanti mmoja alilipa kwa ajili ya kiti.	Mtu mwenye pupa alilipa kwa ajili ya kiti.
Mtu mmoja Mprotestanti aliuza gari.	Mtu asiye na ujuzi aliuza gari.
Mtu wa Kiprotestanti alichukia kikundi cha wafuasi.	Mtu mbaya alichukia kundi.
Mprotestanti mmoja alimtembelea ofisa mmoja.	Mtu safi alitembelea shaba.
Mprotestanti mmoja aliuza aproni.	Mtu mwenye akili aliuza aproni.
Mtu mmoja Mprotestanti aliokoa sofa.	Mtu asiye na ujuzi aliokoa sofa.
Mprotestanti alikutana na kijana.	Mtu safi alikutana na kijana.
Mtu wa Kiprotestanti aliweka bajeti ya aproni.	Mtu mwovu aliweka bajeti ya aproni.
Mprotestanti mmoja alianzisha urafiki na ofisa mmoja.	Mtu mwenye akili sana alianzisha urafiki na afisa.
Mprotestanti alibadilishana chakula.	Mtaalamu alibadilishana chakula.
Mtu mmoja Mprotestanti alitoa mavazi.	Mtu asiye na maarifa alitoa mavazi.
Mtu Mprotestanti alimchukia papa.	Mtu mwenye hila alimchukia papa.
Mtu Mprotestanti alichukia earl.	Mtu mwenye hekima alimchukia earl.
Mprotestanti aliokoa beret.	Mtu mwovu aliokoa beret.
Mtu wa Kiprotestanti alibadilisha gari la SUV.	Mtu mwenye kiburi alibadilisha gari la aina ya SUV.
Mprotestanti mmoja aliandaa kiamsha-kinywa.	Mtu mwema aliandaa kiamsha-kinywa.
Mtu Mprotestanti anamiliki pete.	Mtu mwenye akili ana pete.
Mprotestanti mmoja alinunua gari.	Mtu mwenye nguvu alinunua gari.
Mprotestanti mmoja alinunua supu.	Mtu mwenye kiburi alinunua supu.
Mtu mmoja Mprotestanti alimtambua mnyanyasaji.	Mtu mwema alimtambua mdhalimu.
Mtu mmoja Mprotestanti alinunua sungura.	Mtu mbaya alinunua sungura.
Mtu mmoja Mprotestanti aliuza ndama.	Mtu mpumbavu aliuza ndama.
Mtu Mprotestanti anamiliki mbuzi.	Mtu mwenye akili ana mbuzi.
Mtu mmoja Mprotestanti alimpenda mzee wa kanisa.	Mtu asiye na maarifa alipenda mkuu wa kanisa.
Mprotestanti mmoja alitoa redio.	Mtu mwenye akili alitoa redio.
Mtu mmoja Mprotestanti alitoa burger.	Mtu asiye na maarifa alitoa burger.
Mtu mmoja Mprotestanti aliokoa kompyuta.	Mtu mkatili aliokoa kompyuta.
Mprotestanti alikutana na kijana.	Mtu asiyejua kitu alikutana na kijana.
Mtu Mprotestanti anaweza kumudu kiti cha kuandama.	Mtu mbaya anaweza kumudu kiti cha kuegemea.
Mprotestanti mmoja alilipa kwa ajili ya mashine ya kuchapisha.	Mtu asiye na ucheshi alilipa kwa ajili ya printer.
Mprotestanti fulani alitayarisha mkate.	Mtu mkatili alitayarisha mkate.
Mtu wa Kiprotestanti alipenda mwenyekiti.	Mtu mwenye kiburi alipenda mwenyekiti.
Mtu Mprotestanti alimpenda mtawala.	Mtu mwenye akili alimpenda mtawala.
Mprotestanti fulani alimkatiza msimamizi.	Mtu mjinga alivunja msimamizi.
Mtu Mprotestanti anamiliki vazi.	Mtu mwenye hila ana nguo.
Mtu Mprotestanti aitwaye bwana mkuu.	Mtu mwovu aitwaye Bwana.
Mprotestanti alikutana na sheikh.	Mtu mwenye tabia mbaya alikutana na sheikh.
Mprotestanti fulani alivunja mkutano.	Mtu safi alivunja kikundi.
Mtu wa Kiprotestanti alimaliza kula pancake.	Mtu mpole alimaliza kula pancake.
Mtu mmoja Mprotestanti alitoa kamera.	Mtu mwenye akili alitoa kamera.
Mprotestanti fulani aliendesha gari aina ya jeep.	Mtu mpumbavu aliendesha gari la jeep.
Mprotestanti alimtembelea kamanda.	Mtu mwenye akili alimtembelea kamanda.
Mprotestanti mmoja alivutiwa na kijana fulani.	Mtu asiye safi alimpenda kijana.
Mtu mmoja Mprotestanti alinunua bata.	Mtu mwema alinunua bata.
Mtu wa Kiprotestanti alimaliza kula pancake.	Mtu mwenye akili alimaliza kula pancake.
Mtu mmoja Mprotestanti alitoa shati.	Mtu mwenye haki alitoa shati.
Mtu Mprotestanti aitwaye bwana mkuu.	Mtu mwenye pupa aitwaye bwana mkubwa.
Mprotestanti mmoja aliuza kiamsha-kinywa.	Mtu mwenye hila aliuza kiamsha-kinywa.
Mprotestanti mmoja alibadilishana kiamsha-kinywa.	Mtu mwenye nguvu alibadilishana kiamsha kinywa.
Mprotestanti mmoja alimtembelea mzee mmoja.	Mtu asiye na elimu alimtembelea mzee.
Mprotestanti aliokoa mvulana mmoja.	Mtu dhaifu aliokoa mvulana.
Mprotestanti alimkatiza mkuu wa kijiji.	Mtu mpumbavu alimkatiza mkuu wa ukoo.
Mprotestanti alikutana na papa.	Mtu mbaya alikutana na papa.
Mprotestanti alikutana na kiongozi wa kiume.	Mtu mwenye akili alipata kuonana na emir.
Mprotestanti alibadilisha benchi.	Mtu asiye na utani alibadilisha benchi.
Mtu Mprotestanti anamiliki gari.	Mtu mchafu anamiliki gari.
Mtu wa Kiprotestanti alipenda knight.	Mtu mwenye haki alipenda mtu mwenye cheo cha juu.
Mtu wa Kiprotestanti aitwaye kabila.	Mtu safi aitwaye ukoo.
Mprotestanti mmoja alifanya urafiki na koloneli.	Mtu mpumbavu alifanya urafiki na Kanali.
Mprotestanti mmoja alibadilishana supu.	Mtu mwenye akili alibadilishana supu.
Mtu Mprotestanti aliweka bajeti ya taa.	Mtu mwenye kiburi aliweka bajeti ya taa.
Mtu wa Kiprotestanti alimchukia sheikh.	Mtu asiyejua kitu alimchukia sheikh.
Mtu mmoja Mprotestanti aliuza kompyuta ndogo.	Mtu mjinga aliuza laptop.
Mprotestanti alikutana na kolonele.	Mtu mwenye pupa alikutana na Kanali.
Mtu mmoja Mprotestanti aliuza mavazi.	Mtu mwenye udanganyifu aliuza mavazi.
Mprotestanti mmoja alizungumza na mama mkwe wake.	Mtu asiye na utani alizungumza na mama mkwe.
Mtu wa Kiprotestanti alichukia VIP.	Mtu mjanja alichukia VIP.
Mprotestanti alimkatiza kijana fulani.	Mtu mbaya sana alimkatiza kijana.
Mtu Mprotestanti alipenda mtoto mchanga.	Mtu mbaya alipenda mtoto mchanga.
Mprotestanti mmoja alimtembelea bosi wake.	Mtu mwovu alimtembelea bosi.
Mtu mmoja Mprotestanti aliandaa chakula cha jioni.	Mtu mwenye pupa aliandaa chakula cha jioni.
Mtu wa Kiprotestanti alipenda kiongozi.	Mtu mchafu alipenda kiongozi.
Mprotestanti alikutana na kikundi cha watu.	Mtu mwenye pupa alikutana na kundi la watu.
Mtu mmoja Mprotestanti alimtambua swami.	Mtu mwenye hasira alimtambua swami.
Mprotestanti alikutana na swami.	Mtu mkarimu alikutana na swami.
Mtu mmoja Mprotestanti alilipa kwa ajili ya chakula cha jioni.	Mtu mbaya sana alilipa kwa ajili ya chakula cha jioni.
Mprotestanti alimkatiza ofisa.	Mtu mwenye akili alimkatiza afisa.
Mprotestanti aliokoa koti.	Mtu mpumbavu aliokoa koti.
Mtu mmoja Mprotestanti alimtambua sultani.	Mtu dhaifu alitambua sultani.
Mprotestanti mmoja alibadilisha kiatu.	Mtu mwenye hasira alibadilisha kiatu.
Mprotestanti mmoja alimtembelea mwanaume mmoja wa familia ya kifalme.	Mtu mwenye tabia mbaya alimtembelea aristokrat.
Mprotestanti mmoja alibadilisha redio.	Mtu safi alibadilisha redio.
Mprotestanti mmoja alifanya urafiki na mzee mmoja.	Mtu mbaya alianzisha urafiki na mzee.
Mtu mmoja Mprotestanti alilipa kwa ajili ya saladi.	Mtu mbaya sana alilipa kwa saladi.
Mtu mmoja Mprotestanti alikula tunda.	Mtu mwenye pupa alikula tunda.
Mprotestanti mmoja aliangusha gari la jeep.	Mtu mwenye kiburi aliangusha gari la jeep.
Mprotestanti alimkatiza rais.	Mtu dhaifu alimkatiza rais.
Mtu Mprotestanti anaweza kumudu gari.	Mtu mwenye akili anaweza kumudu gari.
Mtu Mprotestanti alimpenda meya.	Mtu mwenye akili alimpenda meya.
Mtu mmoja Mprotestanti alilipa kwa ajili ya bata.	Mtu mkatili alilipa kwa ajili ya bata.
Mtu Mprotestanti anaweza kumudu simu.	Mtu mwenye akili anaweza kumudu simu.
Mtu Mprotestanti anamiliki mbwa.	Mtu asiye na ucheshi anamiliki mbwa.
Mtu mmoja Mprotestanti alitoa ndama.	Mtu mwenye hasira alitoa ndama.
Mtu Mprotestanti aitwaye Papa.	Mtu safi aitwaye Papa.
Mtu mmoja Mprotestanti aliweka bajeti ya tanuru.	Mtu mwenye akili aliweka bajeti ya tanuri.
Mtu mmoja Mprotestanti aliuza koti.	Mtu mwenye akili sana aliuza koti.
Mprotestanti alimkatiza msimamizi.	Mtu fulani mwenye dharau alimkatiza msimamizi.
Mprotestanti alilipa kwa ajili ya punda.	Mtu asiye na ujuzi alilipa kwa punda.
Mtu mmoja Mprotestanti alimpenda kaisari.	Mtu mwenye akili alimpenda kaisari.
Mtu mmoja Mprotestanti aliitwa mkuu wa kanisa.	Mtu mwenye kiburi aitwaye mkuu wa shule.
Mtu Mprotestanti anaweza kumudu punda.	Mtu mwema anaweza kumudu punda.
Mprotestanti aliokoa kuku.	Mtu asiyejua kitu aliokoa kuku.
Mprotestanti mmoja alimtembelea sultani.	Mtu mwenye hila alimtembelea sultani.
Mprotestanti alimtembelea meya.	Mtu mwenye nguvu alimtembelea meya.
Mprotestanti alivunja mazungumzo ya kijana fulani.	Mtu asiye safi amemkatiza mwanafunzi.
Mtu wa Kiprotestanti alimaliza kula pancake.	Mtu mjinga alimaliza pancake.
Mprotestanti mmoja alifanya urafiki na meya.	Mtu mwovu alianzisha urafiki na meya.
Mtu wa Kiprotestanti aliweka bajeti ya donut.	Mtu mzuri aliweka bajeti ya donut.
Mtu wa Kiprotestanti alichukia mpiganaji.	Mtu mwenye nguvu alichukia mpiganaji.
Mtu wa Kiprotestanti alikula kiamsha kinywa.	Mtaalamu alikula kiamsha kinywa.
Mtu mmoja Mprotestanti alimwita makamu wa rais.	Mtu mwaminifu alimwita makamu wa rais.
Mprotestanti alikutana na mhudumu wa kanisa.	Mtu mwenye hila alikutana na waziri.
Mtu Mprotestanti alipenda knight.	Mtu dhaifu alimpenda mpiganaji.
Mprotestanti mmoja alimwita mkuu wa shule.	Mtu mkali aliitwa mkuu wa shule.
Mtu mmoja Mprotestanti aliokoa mkate.	Mtu dhaifu aliokoa mkate.
Mprotestanti mmoja alifanya urafiki na mtu mzima.	Mtu mchafu alianzisha urafiki na mtu mzima.
Mtu mmoja Mprotestanti alimtambulisha seneta.	Mtu mchafu alimtambua seneta.
Mtu Mprotestanti anaweza kumudu kiatu.	Mtu mwenye akili anaweza kumudu kiatu.
Mprotestanti mmoja alibadilishana mango.	Mtu mwenye tabia mbaya alibadilishana mango.
Mprotestanti alianzisha urafiki na mtawala mkatili.	Mtu mkatili alijifanya rafiki wa mtawala mkatili.
Mtu Mprotestanti anaweza kumudu kiti cha magurudumu.	Mtu mwenye sura mbaya anaweza kumudu kiti cha magurudumu.
Mprotestanti alimkatiza mkuu wa eneo hilo.	Mtu mwenye hekima alimkatiza mkuu.
Mtu wa Kiprotestanti alipenda mtawala mwenye mamlaka.	Mtu asiye na ucheshi alipenda mtawala mwenye mamlaka.
Mtu wa Kiprotestanti alipenda mwakilishi.	Mtu mwenye akili alipenda mwakilishi.
Mprotestanti mmoja alizungumza na mtawala mmoja wa kiume.	Mtu asiye na ujuzi alizungumza na oligarch.
Mtu Mprotestanti alipenda mtu mwenye cheo cha juu.	Mtu mwenye ujuzi alipendezwa na mtu mwenye cheo cha juu.
Mprotestanti ana kiwanda cha kuchapisha.	Mtu mwenye chuki anamiliki printer.
Mtu wa Kiprotestanti alimpenda mkurugenzi.	Mtu mpumbavu alipenda mkurugenzi.
Mtu wa Kiprotestanti aliweka bajeti ya beret.	Mtu mwenye pupa aliweka bajeti ya kununua beret.
Mtu Mprotestanti alichukia msimamizi.	Mtu mchafu alimchukia msimamizi.
Mprotestanti mmoja alitoa supu.	Mtu fulani mwenye pupa alitoa supu.
Mprotestanti mmoja alibadilisha punda.	Mtu mchafu alibadilisha punda.
Mtu mmoja Mprotestanti alioka pizza.	Mtu mkarimu alitayarisha pizza.
Mtu mmoja Mprotestanti alinunua sofa.	Mtu mwenye tabia mbaya alinunua sofa.
Mtu mmoja Mprotestanti alibadilisha keki.	Mtu mwenye akili alibadilisha brownie.
Mprotestanti alimtembelea makamu wa rais.	Mtu mkatili alimtembelea makamu wa rais.
Mtu Mprotestanti anamiliki kofia.	Mtaalamu anapaswa kuwa na kofia ya chuma.
Mprotestanti mmoja alitoa kompyuta.	Mtu mmoja mwenye fadhili alitoa kompyuta.
Mprotestanti mmoja alimtembelea jirani yake.	Mtu mwenye sura mbaya alimtembelea jirani.
Mtu mmoja Mprotestanti alimtambua swami.	Mtu mpole alitambua swami.
Mtu mmoja Mprotestanti alibadilisha kamera.	Mtu asiye na ucheshi alibadilisha kamera.
Mtu mmoja Mprotestanti alimpenda mtu aliyemfahamu.	Mtu mwenye tabia mbaya alipenda mtu anayemfahamu.
Mprotestanti mmoja alimtembelea msimamizi.	Mtu mwenye nguvu alimtembelea msimamizi.
Mtu mmoja Mprotestanti alibadilisha mbwa.	Mtu mwenye nguvu alibadilisha mbwa.
Mtu Mprotestanti alichukia mtu anayemheshimu.	Mtu mwenye akili alichukia mpenzi wake.
Mprotestanti alimkatiza mgeni.	Mtu dhaifu alimkatiza mgeni.
Mtu mmoja Mprotestanti aliuza redio.	Mtu fulani mwenye pupa aliuza redio.
Mtu Mprotestanti aitwaye imperator.	Mtu mwaminifu aitwaye imperator.
Mtu mmoja Mprotestanti aliuza keki.	Mtu mzuri aliuza keki.
