aabid	abida
kareshan	karshana
karim	karisma
karishan	krishka
karmbir	gambhir
karmveer	parveen
karnesh	kuntesh
kartar	kartika
kartik	barti
karunakar	taruna
kashi	minkashi
kashiram	kushi
kashish	kelashi
kashiv	sashi
kashmir	kushmi
kasid	rasida
kasim	nasima
katwa	kavita
kausal	kaushal
kaushal	koshal
kaushar	kusham
kaushik	khushi
kauslender	kuso
kauva	ladakunvar
kaval	kalavati
kavilash	savia
kavit	kawita
kawa	dayawati
kawaljeet	beeti
kayamuddin	yamini
kayum	kasumbi
kedarmal	kesar
kedarnath	keta
kesav	kesavi
kesha	keshanti
keshar	rukshar
keshav	eshavarya
keshave	kehkasha
keshram	reshama
keshri	meenakshi
kesri	kasturi
ketan	kbeta
keval	kajol
kewal	komal
khadak	nikhad
khairti	kiriti
khajan	sajan
khalid	pakhali
khalidur	koyali
khalil	sunarkali
khamchand	kanchn
khangara	roshanara
kheem	shreemati
khemchand	hemuna
khemraj	mema
khetra	seta
khimanand	khima
khokan	moka
khubchand	khushnudi
khubi	khusbu
khuma	khumlo
khursheed	khurshida
khurshid	khush
khursid	mursida
khusaboo	khusboo
khusbu	khushbu
khushal	kushma
khushi	khushnuma
khushnaseeb	naseeba
kifayat	kinya
kimat	kishmat
kingkar	minka
kiran	kiranti
kirashan	krashana
kirodimal	magla
kirorimal	mallo
kirpa	kripya
kirshan	kishna
kirshanpal	sahana
kirshn	krashna
kirshna	krishna
kirti	kitti
kirtiman	kriti
kisan	rucksana
kishan	krishma
kishn	krishama
kishnaram	sahnara
kishor	wilkish
kishore	rema
kisori	sosri
klash	lashma
kmles	tiwankle
knheyalal	lavli
kohinoor	noori
kokil	kokila
komal	koyal
koshalya	koshalya
kouchu	kushbu
koushik	kushmita
kripal	tripta
krisana	rihana
krish	rishma
krishan	raishma
krishana	rukshana
krishen	rashni
krishn	roshni
krishna	varisha
krishnal	sahna
kudeep	kureja
kulbhushan	husna
kulbir	kulli
kuldeel	leela
kuldeep	alseepa
kulli	kulina
kulwant	kalawati
kulwinder	mulina
kumail	kumari
kumar	minakumari
kumari	rajkumari
kumod	umda
kumresh	umesha
kunal	skunatla
kunda	shkundla
kundan	nano
kunden	sunena
kundin	muni
kunj	shakun
kunod	husno
kunwar	shakuna
kuparth	paro
kurban	kranti
kush	kushum
kushal	rushali
kusumakar	kusum
kuwar	rajkumaree
kuwarjeet	surjeet
laddha	araddhna
laka	gulkasha
lakh	lakhbir
lakhami	lakhmi
lakhamichand	lakhsmi
lakhan	salmakhatun
lakhi	lakhi
lakhmi	lakshmi
lakhraj	fakiha
lakhu	lambhu
lakhua	saku
lakhvinder	rakhi
lakhwinder	lakhihadar
lakki	lilaki
lakky	kosylaya
laksh	gulfasha
lakshay	laskshita
lakshaya	satya
lakshit	shakshi
lakshman	shima
lakshmi	rashmi
lakshy	kamakshya
lakshya	koshlya
lal	lalidavi
lala	laltia
lalan	alapna
lalaram	aparna
laldhari	aruni
lali	yukilal
lalit	laltes
lalital	laxita
laliya	swaliya
lallu	lalutha
laltha	kushumlata
lalu	phalguni
lamani	phoolmani
lasar	gulwasha
lateef	gaytree
latesh	natasha
latoor	kastoori
latur	kusumlata
laukush	naushi
lavkush	vikshi
lavtar	pushplata
lawli	pallawi
lawrence	lavpreet
laxman	laxmi
laxmanram	mariam
laxmi	laxami
laxmikant	luxmi
laxminarain	mina
leela	leelawati
leelu	neelu
lehru	mehru
lekhraj	julekha
lekhram	sulekha
lekose	sema
leo	sharinimle
libin	feflibai
lilaram	lilabai
lilu	liladevi
liveri	triveni
liyakat	priyaka
lllllllllllllllllll	killo
lok	bilke
lokender	leena
lokendra	nirja
lokesh	yogeshwari
lokindra	nirma
lovly	dolley
lucki	ruckmani
lukkad	mahlikka
lukman	mukiman
luv	putulu
maan	maanmati
maansingh	mansa
maatwar	maaya
madan	madina
madanlal	manali
madhan	madhuni
madharam	madhu
madho	madhvi
madhu	madhwi
madhusudan	sudha
magat	maalti
mager	maigo
maha	tajmaha
mahabir	mahjabi
mahadev	mahak
mahak	mehak
mahammd	mahima
mahasingh	mahzbin
mahaveer	mehar
mahavir	mansavi
mahbir	maahi
mahboob	majoo
mahbub	mahrul
mahendar	sahenaj
mahender	menadevi
mahendra	manorma
mahesh	mashli
mahfooj	mehfooj
mahfooz	manfool
mahfuj	shahgujta
mahinder	maina
mahindra	nahid
mahinudin	rainu
mahipal	samaiali
mahkar	manka
mahnatha	anayatha
mahraj	marya
mahroj	roji
mahtab	mamta
mahud	manju
mahveer	samaprveen
maisan	afsana
majid	majida
majunew	manwi
makan	mainka
makbul	majrula
makhan	malika
makrud	marium
maksood	jasoda
maksud	masum
malchand	mamtha
mali	ismaliye
malkeet	maneeta
malkiat	mallika
maman	mamanbai
mamata	mammta
mamchand	mem
mamraj	mamuna
mamta	mamoita
mamu	mamuni
manak	manbai
manash	mantasha
manav	manvi
mandan	bandani
mandeep	manmeet
mandu	mandvi
maneesh	sumnesh
manender	manno
manesh	manjusha
mangal	mangla
mangat	manti
mangelal	neela
mangeram	ratmo
mangeshwar	shayra
mangi	mangubai
mangilal	nagia
mangla	manimegla
mangol	manjoo
mangta	manita
mangu	manjula
mani	rukmani
manikchand	nikhat
maninder	moni
maniram	mariyam
manish	mnisha
manisha	danista
manit	mamini
manjar	najara
manjeet	manpreet
manjesh	saneha
manjit	ranjita
manjiv	anjli
manju	ranju
manku	ramjanki
manmath	panmati
manmeet	jasmeet
manmohan	mona
manni	munni
mannu	tannu
mannulal	nanu
manohar	mandothi
manoish	manoti
manoj	sanoj
manojkumar	marti
manosh	sanoshi
manowar	nosar
manphool	phool
manpreet	reeta
mansharam	sanha
manshi	marshilah
mansoor	noorin
mansur	masuma
mantosh	santosh
mantu	montu
manu	samman
manuvar	monu
manvendra	ravena
manver	tanvir
manvir	mairi
maqsood	yasoda
maryam	mariya
masheen	sheenu
masoom	soam
mastan	sita
mata	nazmaa
matadeen	aafreen
matbar	mabiya
mathura	mithu
matok	bato
maujim	mayuri
maushid	murshida
mayak	foolmaya
mayank	maryana
mayur	begumpur
mazhar	mazida
meena	meenat
meenaz	mehnaz
meenu	meeno
meer	farmeena
meera	meela
meeta	nameeta
megh	megha
meghanath	rehana
megharaj	mhega
megharam	rupam
meghashayam	shayma
meghu	meethu
megraaj	mehnaj
mehak	menakshi
mehandi	mholani
meharban	sehran
meharuddin	mehrunisha
mehbob	mehronisha
mehboob	khushboo
mehib	mehvish
mehinder	mohini
mehphal	sehjal
mehraj	sehnaj
mehruddin	rubina
mehtab	hemleta
menpal	menka
mesak	parmeswari
methun	meetu
metily	mairy
mhendar	mohseena
mho	premo
mhoomad	roma
mhosin	mohsina
michael	mitali
midda	amida
miha	amritha
mihir	mithi
mikel	milka
milan	sharmila
milap	ramila
milkhi	minakshi
mintu	sintu
miraz	miraz
mishri	moshri
mishrilaal	shaila
misri	minaksi
mithelash	englas
mithilesh	niti
mithlesh	sithal
mithu	asmit
mithun	momin
mitlesh	misbah
mitnu	philomina
mitthu	sattu
mitthun	munia
mittopuri	manpritkour
mnoj	munjira
mnyak	nayaka
mobarkar	soba
mobin	momina
modh	sumedha
mogan	mony
mogli	mooli
moh	shymo
mohabbat	baita
mohad	monam
mohak	moona
moham	mosam
mohamad	chapma
mohammad	shamima
mohan	sohani
mohanlal	chancal
mohanram	shahnam
mohar	mukhtyar
moharan	marjana
mohardi	morki
mohatter	bhteri
mohd	smshida
mohhmad	momena
mohini	monini
mohinuddin	rohini
mohit	momita
mohmad	soma
mohmed	umme
mohmmad	tohmeena
mohmmd	mosmi
mohsin	nosi
moin	najmin
moinuddin	sonu
mokida	monika
molu	mousam
momin	somi
mona	jasmina
moni	monti
monish	noni
monti	konti
montu	monny
monty	sony
monu	munmun
monupal	sonal
mookan	muskan
mool	amrooti
moolchand	phoola
moolchul	phuli
mooldan	nootan
moshad	shadna
moshin	roshini
mosim	muslima
moti	jayoti
motilaal	similata
motilal	rohila
motolal	phoolla
mousin	musmi
mrityunjay	prity
mubarik	mudrika
mubashir	urwashi
mudasar	mudsay
mudbir	rubi
mudsir	musra
mudssir	musrat
muhmad	suma
mujaffar	sujata
mujeeb	jebi
mujibu	munbura
mujmmil	ujamma
mukaram	muskarn
mukat	mukti
mukeemuddin	sameem
mukesh	mehwish
mukhtar	rukhsar
mukhtiyar	rukiya
mukhtyar	rukya
mukish	mustki
mukkesh	mushkan
mukram	murjina
muksndi	soni
mukul	amarmula
mukund	munnadevi
mul	bulbul
mula	nirmla
multan	nutan
mumtaj	mumtaj
munajir	najira
munder	muntrin
muneer	puneeta
munender	munna
munesh	kamrulnisha
munish	munnia
munkad	yamuna
munna	munny
munnakumar	ugma
munnawar	sna
munne	punni
munnem	tarunnam
munni	unnati
munnu	rennu
munshi	nshima
munsi	murti
muntajar	najma
muntiyaj	sniya
muntjar	teja
muqhtar	mumtaz
murad	smradhi
murari	shivkumari
murarilal	rahila
murli	murtibai
mushir	shipra
mushrraf	musarrat
musibat	siza
muskan	rusan
muskuran	sakura
muslim	salima
mustafa	safali
mustak	taki
mustaq	gulista
mustikeem	neema
mustkeem	seema
mustkim	ramsati
muzamiil	uzma
muzim	rimzim
muzmil	urmila
naajim	naima
nabal	nabila
nabav	narbda
nabi	zainab
nabijan	najrana
nadaim	nandani
nadeem	naseema
nadem	shabanam
nadhim	nashima
nadim	nandini
naeem	neemi
nafe	nafeesa
nagaji	nagma
nagender	nagina
nagendra	nandita
nahar	neaha
nahid	nahida
naim	poonam
naimuddin	nazmin
nain	sunaina
naina	naina
naisi	nafisa
naitik	nitika
najar	najarana
najim	najni
najimuddin	najo
najis	najrin
najre	najreen
najrin	nasrin
najubai	nurbi
nakched	nachita
nakul	sakuntla
naman	nazma
nanagram	nayna
nanak	nanki
nand	gulnanj
nandi	nahani
nandita	vandita
nandkishore	ranki
nandram	narayn
nandu	anzum
nanhe	saranthem
nanhey	nancy
nanhu	panchuri
nanka	anuska
nankesh	ntasha
nanku	shankuntla
nanni	nazani
nannu	annpurna
nanu	anupriya
nar	naraini
narain	nashrin
narander	narbada
narayan	nayana
narbahadur	rahat
narbir	robi
narendar	reena
narender	nasreen
narendera	nasreema
narendra	narmda
naresh	wareesha
nareshpal	varsha
narhasi	parsi
narinder	rini
naroo	arzoo
narpendra	fareeda
narsa	nursa
narsingh	nassin
naruram	nazira
naryan	nazrana
nasar	sheensar
naseef	naveeda
naseem	neelam
nashim	rashimi
nashimuddin	shilu
nasiar	nazia
nasim	tasnim
nasir	priyansi
nasruddin	ruksin
nasrudeen	nazreen
nasrul	serul
natha	namita
nathani	ratani
nathu	fooljhnah
nathulal	rahul
nathuram	nitam
natthu	neetu
naulakh	naveela
naulesh	tulsha
nausad	nusrat
naushad	nitasha
navdeep	naveena
naved	navleen
naveen	navneet
navendra	raveena
navi	navita
navin	vashanavi
navjoot	rajjoo
navneet	nazneen
navnit	vinit
nawab	shahnawaj
nawal	sanaali
nawaz	farhanaaz
nawed	saweta
nayan	naviya
nayeem	poneem
nazeem	neelima
nazim	naziya
nazir	sazi
nazirul	nirjla
nazmuslam	seelam
neelajan	lajja
neelkant	neeli
neeraj	neeta
neeshu	incee
neetu	neeti
neeven	noreen
nej	benjir
nek	nekki
neki	nikita
nenhe	nency
nepal	nelam
nesha	sneha
netra	sumentra
netram	santra
netrapal	satyapal
newal	neelachal
nidhi	sidhi
nihal	nirmal
nihalchand	nicharon
nijam	nipam
nijamuddin	nimla
nijamudeen	peena
nikhil	nikil
nikhleshwar	khshbu
nikita	niksiya
nila	nilofar
nilu	nirutma
nimahe	antima
nimesh	nirosha
nipun	nini
niraj	nirvat
niranjan	ranjana
nirbhay	nibo
nirmal	nirmala
nirmaljeet	nirwat
nisar	nisat
nischaya	chhaya
nisha	nishtha
nishal	vishal
nishant	nikahat
nishith	shgita
nishu	novisha
nitesh	sntosh
nithyanandham	aardhna
nitin	valentina
nitish	nuraish
nittin	parniti
nitu	minitwa
niwas	bironica
niyaaz	virjiniya
nizam	antim
nizamuddin	nimmy
njare	parem
noor	nooreen
noora	noorpa
nooralam	noomi
nooralha	nurjaha
noore	norti
noori	bhoori
noorjama	pooja
noornabi	soona
nooruddin	ruzina
nootan	phoolwanti
nosad	kosar
noshad	roshani
nrendr	reenu
nrotam	roopam
numesh	sudershan
nur	sabnur
nwed	waheeda
ojas	saroja
oli	phooli
ombeer	rojmeri
ombir	roobi
omender	rojmen
omendra	rawi
omesh	santoshi
omeshkumar	shuman
omi	promila
omjone	soonam
omkar	kachri
ompal	ompati
omparkash	rashma
omparkesh	reshmi
omparsad	varsa
omperkash	awshin
omprakash	pratiksha
omprakesh	priyak
omprkash	prabhu
omprkesh	prem
omveer	veermati
opendar	preena
ovaish	vaishali
pabitra	pavitra
pabu	prabhila
pachuram	panchma
padam	pammi
pahalwan	pholwanti
palaram	payana
pallu	pallvi
panaj	spana
pancham	panchi
panchhi	prachi
panchi	panchoo
panchuram	aanchal
pancu	pawni
pandit	pangita
pandu	peenu
pankaj	parinka
pankajsheel	sheelu
pankuj	pinku
panna	sanna
pannalal	alima
pannu	tarannum
papp	chappla
pappe	papiya
pappu	anupuma
papuu	anusuiya
param	prameela
paramjeet	pareeti
paramjit	parmita
paramveer	praveen
parash	sarah
parashram	darfasha
parashu	patasi
parathvi	pargati
paratibha	partibha
parbhat	parvati
parbhu	prabhjot
parbhudayal	rabhida
pardeep	parveena
pardep	parven
pardeshi	shabi
pardhuman	parmila
pareen	sareen
parem	prema
pargat	parwati
parhalad	pharjana
pari	pariti
parjinder	pyari
parkash	shakashi
parlad	premla
parmanand	parsann
parmeshwar	sarshwati
parminder	premi
parmjeet	preeti
parmo	partima
parmod	narmada
parmodh	yasodha
parmood	afrooj
parnav	parerna
parsanjeet	sanjeeta
parsant	prasanta
parshant	bashanti
parshotam	tamsa
parshu	vipasha
parsnath	upasna
parsuram	purva
partab	armita
partap	parvti
parteek	prete
parth	pratibha
partik	pritika
partul	sahrul
partyush	pataso
parveen	praveena
parvej	piroj
parven	farheen
parvesh	avastha
parvez	prezi
parvinder	rvina
pasanjeet	sangeet
patan	satwanti
patav	satyavati
patender	prati
patras	taitra
patric	gaitri
paul	pallavi
pavan	avantika
pavnesh	saeshta
pawan	rawana
pawansingh	sawana
pawna	apsana
peentu	reetu
pemaram	premlata
penzin	zina
pera	prableen
perdeep	preety
perkash	prinka
permeshwar	reshami
perveen	veena
pervez	rachpreet
pervinder	vineta
phakir	shakti
phirdos	firdosh
phool	phoolwati
phooleshwar	pholwati
phoolo	pooga
phoolwati	foolwati
pinki	pinki
pinkoo	pinky
pinku	rinku
pinttu	punit
pintu	rinju
pitar	pitika
piuesh	pushpa
piyus	priya
piyush	puspha
pokhar	poga
poma	omwati
pooja	poornima
poonam	sonam
pooran	foranta
pooranmal	rajna
popinder	pinkey
poshetty	shelly
pphola	phulkana
prabhakar	rambha
prabhash	pritibha
prabhat	pragati
prabhatilal	pramila
prabhatyashi	yashika
prabhjeet	rajeena
prabhjit	rabita
prabhu	rahnuma
prabhudayal	rashida
pradeep	rakeeba
pradep	ramdevi
prafhool	afroz
praful	fulo
prahlad	rachna
prakash	pryanka
prakesh	revakshi
prakul	preyank
pramal	pratima
pramatma	fatma
prameshwar	ramwati
prami	pragti
pramjeet	preti
pramjot	rajanti
pramod	ramdulari
pramood	tranoom
prankur	piryanka
prannab	ranjna
pransis	pryanika
prasant	upasana
prashanat	afshana
prashansa	shahna
prashant	santa
pratap	ratna
prateek	reekha
pratha	radhab
pratul	premwati
praveen	saveena
pravendra	vandna
pravesh	rashika
pravin	ragina
pravindra	rahina
prayatan	rafat
prdeep	sukhpreeet
preet	sunpreet
preetam	reetima
preeti	reeti
prem	premawati
premchand	prwem
premnarayan	reema
prempal	gurmala
premsingh	nemsi
preyojit	yogita
prhalad	pushapa
priju	sarju
prinsh	prinkya
pritam	srita
pritesh	srishty
prithvi	smriti
priti	sharjprit
prittam	pulita
priyansu	priyanka
prkesh	rukshan
prmod	pirmika
prsant	rosan
prshant	pushpan
pujja	pujadevi
pukharam	sunhara
pulkit	fulki
punarjyoti	jotyi
puneet	suneeta
punia	punita
punit	sunita
punkaj	priynka
puran	nusrant
puranmal	purnima
purnmal	gurmel
pusgpender	puspa
pushank	shankri
pushkar	vishavkarma
pushpa	pushpawati
pushpender	sushree
pushpendr	sapna
pushpendra	ruhhena
puskar	ruksar
puspak	ruppa
puspendar	sundari
puspender	huseni
puswa	susma
pyar	supyar
pyare	piyari
pyarelal	sarmeela
rabpreet	sabreen
rada	razida
radat	radhabai
radesyam	resmi
radha	radhika
radhamohan	sharadhha
radhe	radikha
radhesayam	sayda
radheshyam	sabhya
radhey	rajshree
radheyshyam	shamim
radhyshyam	shampa
raeeyan	rangeeta
rafal	shaifali
rafeddin	rafikan
rafi	aafrin
rafiq	rajia
raghav	sarjaha
raghbir	rajbiri
raghu	ragini
raghubeer	rubeena
raghubir	rubbi
raghunandan	sandna
raghuveer	veenu
raghuvir	ravita
ragib	ratni
ragwender	twenkle
raheesh	sabeeha
rahil	takshila
rahim	raismi
rahimuddin	saimun
rahis	sahishta
rahish	sahistha
rahishudeen	tahseen
rahisuddin	siddhi
rahmat	rampati
rahu	raunaf
rahul	kherul
rai	suraiya
raisingh	rajina
raisuddin	razia
raj	rajiya
raja	richaraj
rajam	rajlaxmi
rajan	rajwanti
rajaram	rajkarnta
rajat	rajwati
rajbeer	sabeena
rajbir	rabiya
rajdev	saridevi
rajdut	sajda
rajeet	sujeet
rajeev	sajmeen
rajend	ranjnika
rajendar	ranita
rajender	razni
rajendra	raniya
rajesh	urvarshi
rajeshvr	shiva
rajibul	rajkali
rajider	sajida
rajinder	sajini
rajish	samiksha
rajit	sagit
rajiv	sajia
rajjit	sajni
rajkiran	sakiran
rajkumar	sajma
rajkumarm	kumkum
rajmani	ramaiya
rajna	sajana
rajneesh	sahab
rajnesh	tanushri
rajni	foranti
rajnish	tajrani
rajo	sanjoh
rajpal	ramkali
rajputra	udita
raju	sartaj
rajuddin	sanju
rajveer	saveroon
rajvi	ramvati
rajvir	savitri
rakesh	ronak
rakhi	priyaki
rakho	rukhsona
rakkibhul	kooki
rakshit	asmita
rama	taramati
ramakant	ramkanya
raman	tamana
ramanand	tamanna
ramavtar	rampayari
rambabu	ramrati
rambarose	rooshi
rambhajan	rubjaan
rambharos	rosina
rambhool	sabbo
rambhul	phulbi
rambir	samiron
rambrij	sabrin
ramchander	saima
ramchandr	salma
ramchandra	sandya
ramdas	samsida
ramdev	somdevi
ramdhan	sadhana
ramdhin	farhin
ramdin	samina
ramdutt	sampat
ramdyal	raziya
rame	laxmeena
rameh	shamshina
ramender	umedi
ramesh	mishbha
rameshwar	rekhwan
rameshwer	sweta
rameswar	saroj
ramfare	ruksaar
ramgopal	roopali
ramhetu	revti
ramjan	sanjan
ramjanam	rijwana
ramjani	sarojani
ramjeet	sameena
ramji	rimjhim
ramjiyawan	sajiya
ramkaran	saanu
ramkesh	samiksa
ramkhilawan	sarmila
ramkiashan	shahin
ramkish	reemi
ramkishan	shaina
ramkumar	kusuma
ramkumari	smarti
ramlakhan	rosanjahan
ramlal	malti
rammurti	surti
ramnath	shanah
ramnihor	salmi
ramniwas	sania
ramniwasj	samima
ramotar	hasmita
rampaal	sapana
rampal	rimpi
rampati	rehmati
ramphal	chanchala
rampher	sarangthem
ramprasad	sadhna
ramsagar	sayari
ramsawroop	roopa
ramsem	pammy
ramsewak	saraswati
ramsingh	samrin
ramsurat	sarasvati
ramswaroop	santro
ramswroop	rozi
ramswrup	rupi
ramtek	rekha
ramu	subhadra
ramulu	saalu
ramveer	yasmeen
ramvihar	vibha
ramvilash	vimla
ramvir	shyamvati
ramwatar	swata
rana	sagiran
ranbir	ruanbza
randeep	sangeena
randheer	shaheen
randhir	tahira
rani	shimran
ranjan	sanjana
ranjay	sanjna
ranjeet	sangeeta
ranjit	sanita
ranju	trannum
ranpal	rizvana
rantesh	vanshika
ranveer	tanvi
ranvir	shavitri
rasab	hafsa
raseel	seetal
rashab	shabbo
rashid	lahida
rasid	sahida
raspal	salni
rasul	sujli
ratan	shrabani
rathan	sabhana
rati	srimati
ratikant	rinka
ratiman	sahima
ratn	simran
ratnesh	santna
ratneshwar	sayra
ratneswar	swati
ratul	santu
ratwari	sawariya
raud	subhdra
rauf	sagufta
raveena	sakeena
ravi	ladidavi
ravidutt	savita
ravikant	malvika
ravinath	vinna
ravindar	vidya
ravinder	savrin
ravindera	satvida
ravindr	shravani
ravindra	aalina
raviraj	saviha
ravishankar	shanaz
rayish	gaytri
razi	marzina
razim	fazin
redhema	ridhima
reena	zareena
reenu	renuka
rehaan	sehnaaz
rehan	surekha
rehman	tehmina
rehmat	hemlata
rejaul	sejan
rekha	seekha
rekhai	rukhsna
repu	trepti
revndrshing	saahin
reyaz	kosaleya
rghuraj	gulsan
ridhakaran	vidhya
rihaan	rizwana
rihal	sikha
rihan	rukhsana
rijakpal	vijaya
rijul	sharmili
rijvan	sivani
rijwan	shiwani
rima	shrimati
rinka	prinkaya
rinkal	pryinka
rinki	rinki
rinkoo	rinky
rinku	tinki
rishab	siksha
rishabh	shobha
rishaw	sarsawati
rishi	shiba
rishipal	silpa
rishiraj	sipra
rishu	shruti
risiraj	sirjna
ritesh	sarita
rithik	gitika
ritik	suriti
ritu	sarwitavm
ritunjay	afrina
rituraj	sukrita
riyajuddin	rubiya
riyajudhin	husina
riyajudin	runiya
riyajul	seeriya
riyasat	vidyawati
riyaz	supiriya
riyazuddin	rozina
rizwaan	virwanti
rizwan	firoza
rma	sumemtra
robert	groti
rohaan	shabanm
rohan	sobha
rohil	sohni
rohit	farhib
rohitash	shital
rohtash	tasbiha
rohthash	subhi
roji	sarojini
rolly	rozy
ronak	sonaki
rony	soniya
rookmani	somanti
roop	rubo
roopnarayan	sayana
roopsingh	sabina
roshan	sosan
roshanlal	shayna
rsjesh	sehnaz
rubal	rubbina
ruben	rubey
ruchendra	ruchika
ruchit	suchita
rudhra	sudhama
rudmal	sudma
rudra	varda
rukhsar	ruksana
ruksar	sukshana
rukshan	gulshana
rumeet	beeuty
rup	rubby
rupak	supna
rupan	utpana
rupen	tarun
rupender	simren
rupendra	zenab
rupesh	sushma
rupinder	suneta
ruplal	tulsa
rustam	sushama
rvindra	vinita
saad	sayada
saahil	sabila
sabana	sabana
sabbab	sabna
sabbir	bebi
sabbu	shabbenour
sabeer	sayeri
sabi	sabita
sabid	sabiya
sabir	sabrina
sablu	salupa
sabrajeet	savreen
sachi	suchi
sachidanand	shahida
sachin	sahina
sadab	sandiya
sadabrij	sarbari
saddam	sabnam
saddham	shadhna
saddiq	sahjadi
sadhna	shadhana
sadik	safika
sadip	shadiya
sadiq	shahjadi
sadod	sanno
sadre	sarika
sadur	shabnur
saeed	shakeena
safiq	safila
sagan	saaniya
sagar	sagrika
sagir	sangita
sahab	sahiba
sahabbudin	shabina
sahabudeen	sahnaz
sahadeb	sahajha
sahajad	sahanaj
sahajaha	shanjhan
sahbaj	shahiba
sahbuddin	shahina
sahdab	sahista
sahdev	sukhdevi
saheb	shekiba
sahi	safina
sahid	shahista
sahil	shaili
sahjad	sayja
sahkir	sakina
sahlesh	shulekha
sahna	shahnaj
sahnabaj	sayna
sahnaj	shahnaz
sahnawaz	shehnaz
sahnaz	sibanaz
sahrik	sawtri
sahrukh	shikha
sahun	sauni
sahwaj	sawati
sai	saiesta
saidas	sanjida
saidul	saifali
saieman	ilema
saif	saista
sainky	salina
saizad	sazia
sajan	snjana
sajid	santi
sajjan	sabanam
sajju	lajjavati
sajruddin	shamrin
sakal	shakutal
sakcham	shivam
sakchan	shbana
saket	saveta
sakhichander	sunaki
sakib	shakina
sakil	vakila
sakir	sawitri
saksham	shamina
salaman	sayma
salauddin	salini
saleem	salomi
salesh	sital
salim	saloni
salin	shalini
salinder	sazmin
salmaan	samiya
salmam	sudama
salman	shabila
sam	tapsam
samad	jyotsana
samadh	sazya
samadhan	vandhana
samar	sawatri
samay	simmy
samayddin	shyamwati
sambhu	surbhi
sameem	seeba
sameer	selars
sameeruddin	guddiya
samer	sosari
samim	simmi
samina	tasmina
samir	sumirta
samit	sapita
sammiuddin	somil
samon	sonia
sampat	somwati
samser	susri
samsuddin	sunil
samsudin	yasmin
samsung	sangeta
sanand	saniya
sanat	dhanwati
sanaullah	sakuntala
sanavvar	dvndavva
sanchit	saviti
sandeep	sngeeta
sandhaya	shayana
sandip	shvani
sangeeta	seweta
sangit	shivangi
sangram	anamika
sanjai	shyani
sanjay	tanuja
sanjeet	sweeti
sanjeev	subani
sanjeevan	gulsana
sanjey	sukanya
sanjit	suhani
sanjiv	shivani
sanju	tarnum
sanjya	saziya
sankar	sonika
sankarlal	shakuntala
sanni	suganti
sanny	sonyi
sanoj	sumanlta
sanpat	kesnata
sansaar	anusoya
sant	sujanti
santi	suntia
santosh	senthia
santram	shakuntla
santrm	sukhwanti
santu	suzata
sanu	sugandb
sanwar	sunarki
sapan	shilap
sapna	sugna
sarabjeet	sarswati
sarad	zahira
sarafat	tarawati
sarafraj	zarina
sarain	marjina
saranjeet	zeenat
sarbash	tabasum
sarbjeet	sweety
sardar	gulsida
sardeep	shushree
sardhu	shumita
sarfaraj	shagufta
sarfraj	shailja
sarif	smariti
sarik	swagtika
sarip	silpi
sariq	sefali
sarita	sumita
sarjeet	sheetal
sarju	surjiya
sarkar	shivalika
saroj	bakhtvaar
saroop	sozi
saroz	fozia
sartaj	sudhata
sarthak	swetha
saruf	sufiya
sarvan	hemavanti
sarvash	satyvati
sarves	shveta
sarvesh	veshali
sarvjeet	vijeta
sarwan	sukmani
sashi	sushri
satan	snehlata
satayanarayan	tayab
satbar	vijayanta
satbir	sukhbir
sateesh	shiteel
satender	vedehi
satendra	sukenta
satish	sisty
satnam	swetna
satnarayan	katyayani
satnosh	chanchl
satpal	shetal
satrohan	sumitra
satrudan	tumpa
satrughan	uganti
sattaram	kusumlatta
satu	kulsum
satveer	sukhvir
satvir	switi
satya	sutiya
satyadev	sunayna
satyam	nayamati
satyanara	tania
satyanarayan	tamnna
satyapal	joyaa
satyaprakash	tapsya
satyawan	suhaliya
satyender	vyelet
satynarayan	yashmin
satyvrat	zoya
saud	tabbsum
sauhal	sunali
saurab	shqakuntla
saurabh	subhagi
saurav	kushumavati
savan	lilavati
savir	silvia
sawali	sonali
sawan	vaijanti
sawarmal	sumaila
sawrn	tarnnum
sazid	vesali
schin	shobina
sedarath	vidhavati
seeta	geetika
sehbaj	shneha
sehboob	shoiba
sehdev	shmejha
sehin	suhagini
sehjamal	kelama
sehjan	subhangi
sehnawaj	shkuntala
sehzad	shilpa
sehzada	yashoda
sekha	sukheeya
selva	sushela
senser	susheela
sethi	shilly
seti	tulasi
sevak	shefali
shabbir	shifali
shabi	gulshtab
shabir	shilpi
shaboob	shimla
shabuddin	fuljhadi
shadab	shittal
shadan	shushma
shadhik	shushila
shadik	mallik
shafi	shimpi
shafibul	tulki
shagufta	susmita
shahabuddin	dipti
shahbaz	gulnaaz
shahboob	shusila
shahbuddin	chumki
shahib	sushhmita
shahid	subhiya
shahir	sumalia
shahjad	sunitha
shahnabaz	vandhna
shahnawaj	sulochna
shahnawaz	taniya
shahnwaj	sushila
shahruf	suhsmita
shahrukh	jhumki
shahvaj	sushmita
shahwaj	yashodha
shahzad	husiya
shaid	guddibai
shaikh	baikunthi
shail	susila
shailash	bilkis
shailender	zhini
shailesh	simpi
shaitan	yinita
shajid	tanjima
shakar	tashkkur
shakhtnsana	vicakha
shakib	minakxi
shakil	twinkil
shakir	tulsi
shakti	jayotli
shalender	koslya
shalid	taslima
shalig	lilima
shambhu	bhumika
shambu	begam
shami	tavvasum
shamim	minaxi
shamshad	tabsum
